name,line
Shiki,We freed the cursed sculpture. Does that mean we cleared the mission?
Neku,"No, that was just to cross the wall. See? My clock's still ticking."
Shiki,"Yeah...mine too. Well, at least the wall's gone."
Neku,"Let's go find this ""Hachiko""...Our real target."
Shiki,Neku... You talk like you've never heard of it.
Neku,Nope. What's Hachiko?
Shiki,WHAT!? How can you live in this country and not know Hachiko?
Neku,......
Shiki,Remember where we met yesterday? There's a statue of a dog in the 
Neku,......
Shiki,Not again...
Neku,......
Shiki,...... All Right! Fine. Let's just head for Hachiko.
Shiki,"C'mon, Neku. Let's head over to Hachiko!"
Man,...Oh. ...You're all better now! ...I'm so glad.
Neku,"(He can tell!? In a way, that's pretty impressive.)"
Man,...Hey. ...Hachiko seems down lately. ...Don't you think?
Neku,"(Hachiko is feeling down? Does that mean it's cursed, too?)"
Higashizawa,...... That young lady... She has just the ingredient I need.
Shiki,We made it! And with plenty of time left!
Neku,(This is where we met yesterday... So the two places are connected.)
Shiki,OK! Let's lift Hachiko's curse!
Neku,And how do you propose we do that?
Shiki,"Well...umm... Maybe we could erase the Noise around it, or...yeah."
Neku,(She's clueless. This is why I can't count on other people. ...They're
Shiki,"Hey, I bet Hachiko's possessed by Noise, too. Scan the "
Neku,(But doesn't that seem too... easy?)
Neku,No Noise around the statue...
Shiki,You tried scanning? Then Hachiko must not be cursed?
Neku,(Could we have the wrong statue?)
Shiki,"Huh? Hey, look, Neku!"
Neku,(Crap...We don't have time to hunt for another statue...)
Shiki,EARTH TO NEKU!
Neku,What!
Shiki,Something's wrong with Hachiko.
Neku,Like what?
Shiki,Hmm...I'm not sure. But it looks different from when I saw it at Hachi
Neku,Then let's take a closer look.
Shiki,Hmm... Something about him seems different.
Neku,(Let's get a closer look.)
Shiki,"Hmm...Something is definitely off. When I saw him at Hachi Fest, "
Neku,(I should get a closer look...)
Shiki,Hmm...Hachiko seems less...lovable?
Neku,What's Hachi Fest?
Shiki,"Oh, it's a blast! It's this festival where you touch Hachiko "
Neku,Wow. Charming.
Shiki,"They hold it every year. And each time, the place you have to"
Neku,...You explode?
Shiki,You get cursed!
Neku,Hmm... Sound pretty extreme.
Neku,So this cure... 
Shiki,Umm... I know something's off...
Neku,"(Well, you just take your time. Cause, you know, we've got so much of "
Neku,"So, Hachiko's curse..."
Shiki,Why don't we start scanning around? Somebody else may know
Guy,...Hey. ...Hachiko seems down lately. ...Don't you think?
Neku,(What is it with this guy and statues?)
Guy,...He must be like you. ...Drifting in a sea of woes... ...If only I 
Neku,Polish away Hachiko's pain? That's...idiotic.
Shiki,"Hey... Neku, we should try that!"
Neku,Try WHAT?
Shiki,Polishing! Hachiko did look a little dirty. And I saw this weird 
Neku,"(Or what if someone just went crazy with a magic marker? Well, if "
Shiki,Yeah!
Shiki,Yes! Now we can free Hachiko from the curse. Let's hurry 
Neku,(...Do you ever shut up?)
Shiki,"What should we do, Neku?"
Neku,(I might be missing something... I should gather more info.)
Shiki,"OK, Neku! Let's polish like we mean it!"
Neku,Isn't that gonna...you know...create a scene?
Shiki,Don't worry! No one's watching. And so what if they see us?
Neku,(See us petting a piece of ROCK?) All right. Whatever...
Shiki,"OK, Neku, let's polish like we mean it!"
Hachiko,Grr...
Shiki,"You say something, Neku?"
Neku,Nope.
Shiki,You know... It seems the more we polish... the less this looks like
Hachiko,GRRRRR....
Shiki,Stop growling and polish!
Neku,I'm not growling...
Shiki,"Neku, something came out of the statue!"
Shiki,"Neku, we did it! The timer's gone! So there was Noise possessing both"
Neku,And our mission was to get rid of both.
Shiki,"Hey, Neku..."
Neku,Yeah?
Shiki,You said before you don't need any friends.
Neku,Yeah. Your point?
Shiki,"Well, you couldn't have solved Hachiko's riddle without me."
Neku,What? Get real.
Shiki,"If I hadn't noticed the pattern, we might not have cleared the "
Neku,"Listen, Stalker. I don't need you to solved one stupid riddle."
Shiki,"Riiight. Well, if you ask me--"
Shiki,!?
Shiki,Huh!?
Neku,That voice... You were at 104 yesterday!
Shiki,You're that Reaper!
Uzuki,"Well, excuuuse me for doing my job."
Shiki,Then it's true?
Neku,(A Reaper... She gives out the missions?)
Uzuki,"You know, you owe me a bowl of ramen. For not disappearing like you're"
Neku,(This...girl is a Reaper?)
Uzuki,"What's wrong? Too spooked to answer? Well, this should bring you "
Shiki,Huff...huff...
Neku,(Nngh... These Noise are tougher than the others...)
Uzuki,"Wow. You're, like, stronger than I thought. But I'm not done playing"
Neku,(No... I can't keep this up... I've got one chance.)
Uzuki,Hmm?
Neku,(I have to take her out!)
Uzuki,Please tell me you're not planning on fighting me? Ha ha ha ha! How
Neku,(What!? She erased her own Noise?)
Uzuki,You seem surprised.
Neku,Aren't the Noise on your side?
Uzuki,"Eww, gross! Don't group us together. The Noise are nothing but tools."
Neku,(Rrgh...I can't let this brat win! But can I stop her? I have no idea 
Shiki,"Don't, Neku! You don't want to take her on! She can erase you in a"
Neku,Hmph.
Uzuki,"Aww, what? You're giving up? Booo-ring. Don't get my hopes up like "
Neku,Huh!?
Uzuki,But...I can't do that.
Neku,(Huh?)
Uzuki,"Well, this is a pickle... Hmm... I know! Let's try something fun! A"
Neku,You...you will?
Uzuki,"You betcha! Sweet deal, huh? So, like, what do you say?"
Neku,(A ticket out...)
Shiki,"Neku, don't! Don't listen!"
Uzuki,"You back there. Shut up! Now, are you in, or are you out?"
Neku,...I'm in.
Shiki,Neku!
Uzuki,"Whee! 'Atta boy! Now, let's get started. Oh, I forgot to mention. If "
Neku,What!?
Uzuki,Thankfully the rules are veeery simple. You have one minute...to erase
Neku,What? Erase her?
Uzuki,"Yup. Poof! Kaput! Easy, right? Just pretend you're erasing the Noise."
Neku,(W-wait! Dammit... She's asking me to kill someone. There's no way I 
Shiki,Neku...
Uzuki,30 seconds! Still on the fence? Then let me give you an incentive. 
Neku,What? She's a spy?
Shiki,Hey! What are you saying!
Uzuki,Thanks for checking in so often. We couldn't have done it without you.
Shiki,Shut up! Don't lie! Neku...She's making all of this--
Neku,Your phone. Why did you keep playing with your phone?
Shiki,Huh!? Oh... I was...just...
Uzuki,Just SPYING. She's not very good at covering it up.
Shiki,I didn't spy! I swear!
Uzuki,"G'bye. And thanks for playing. 10 seconds... You're the star, kiddo."
Neku,......
Uzuki,What are you waiting for? Do what comes naturally. Save yourself. 
Shiki,"Don't, Neku. Don't kill me..."
Neku,I have to.
Shiki,Please...don't kill me.
Neku,I have to
Day,Don't Kill me. Chapter Closed]
Neku,"Nngh... ! What is this place? It's dark... Is it nighttime? No, I'm"
Neku,...... I need to get out of here. Where's the exit?
Neku,If I use this pin for a light... ? Huh? It doesn't work. So I can't use
Neku,! (Footsteps? Somebody's coming this way...)
Neku,Show yourself!
Shiki,Ahhh!
Neku,You?
Shiki,Neku!? You scared the crap out of me! Don't do that.
Neku,I scared YOU? Where the hell have you been?
Shiki,It was dark. I was looking for a way out! I must've tripped a half a
Neku,"(Hmm, time to try this again.)"
Shiki,"Neku, pins only work when we fight Noise."
Neku,Really?
Shiki,Well...with a few exceptions.
Neku,(Like psychokinesis...) W-well...It's dark. You should be more careful.
Shiki,You kidding? I already found the exit!
Neku,Then why didn't you lea--
Shiki,I'm not going anywhere without you.
Neku,......
Shiki,"C'mon, I'm not that useless, am I?"
Neku,...... Don't do anything dumb like wander off.
Shiki,Excuse me? Which one of us has been acting dumb?
Neku,.......
Uzuki,What are you waiting for? Do what comes naturally. Save yourself. 
Shiki,"Don't, Neku. Don't kill me..."
Neku,I have to.
Uzuki,Now let's see some results!
Uzuki,! Who are you?
H,"Ah-ah-ah, sister. You gotta play by the rules. Making ""erase your"
Neku,It is!?
Uzuki,I know that. I was just having a little postgame fun.
Neku,What!?
H,One mission per day. That's the rule. And only the Game Master can 
Uzuki,"I know that, too! But I'm not the Game Master. Which MEANS this wasn't "
H,"Then start walkin', sister. Your work's done for the day."
Uzuki,...Hmph. For a Player... you know a lot about our rules.
Neku,You...you tricked me! All that about letting me out of the Game-- that
Uzuki,"Like, that is so rude! I do not lie. If I erased you, that's still"
Shiki,"Thank you so much. We owe you our lives, Mister...um..."
H,Hanekoma. Sanae Hanekoma. Think of me as a sort of...guardian. I watch
Neku,That Reaper tricked us.
H,You mean she tricked YOU.
Neku,......
H,"You ignored the young lady, fell into a trap, and very nearly snuffed"
Neku,......
H,"If you think you can do everything yourself, you're in for some hard"
Neku,'Scuse me?
H,Hard feelings don't make for good teamwork. You wanna survive or not? 
Shiki,......
Neku,...... ...Sorry.
Shiki,"Neku... I, um... F-forget it. I'm over it. I mean, you didn't... She"
H,"There! Problem solved! Now listen up, you two. There's only one way to"
Neku,"""Phones""?"
H,"You know what trust is, right? Partnership is essential to surviving "
Neku,......
H,You won't sync up unless you OPEN up. Talk to her! Tell her how you're
Shiki,"He's right, Neku! Look...I know I hold you back. I'm not that good at"
Neku,......
Shiki,Neku?
Neku,"I want to understand me, too... But I don't."
Shiki,What...
Neku,I can't remember anything but my name. I woke up in the intersection 
Shiki,But... That means...what? You have amnesia?
Neku,......
H,"Sorry to hear it, boss...That's rough."
Shiki,I can't believe you've lost your memory... You could've told me 
Neku,I didn't know.
Shiki,It did strike me as kind of strange that you knew nothing about 
Neku,"What, like you do?"
Shiki,"Well, I don't know EVERYTHING, but... Anyway. We got lucky. Thanks to"
Shiki,Ahhh! That almost gave me a heart attack!
Neku,"Hey, you dropped your phone--"
Shiki,Ahh! Don't touch it! I got it!!!
Neku,(Nice photo.)
Shiki,...You looked?
Neku,The screen was face up...
Shiki,That's my friend. She was in my class.
Neku,So all those times--
Shiki,Yeah. I was looking at this.
Neku,And you yell at me for keeping secrets! It's just a photo. You don't 
Shiki,"Look, Neku! The mission mail!"
Neku,(...Huh? She's covering? What else does she have to hide?)
Shiki,"""Defeat the master of A-East. You have 360 minutes. Fail, and face"
Shiki,Oww!
Neku,The timer. Guess we'd better get started.
Shiki,OK! Today's mission has something to do with A-East.
Neku,? A-East?
Shiki,It's the name of a concert space. I've been there a bunch of times.
Neku,You seem to know Shibuya pretty well.
Shiki,Of course! I hang out here all the time. Follow me! I'll take you to
Shiki,First things first.
Neku,(The exit.)
Shiki,!? Wait a sec...
Neku,What now?
Shiki,"Umm... We're here, heh heh..."
Neku,You mean we were inside A-East the whole time? You know--
Shiki,How was I supposed to tell? They had all the lights off!
Neku,......
Shiki,"We're ahead of schedule, so no griping. Now let's go defeat that "
Neku,It was too dark to see anything inside.
Shiki,Then we better take care of the lights. Otherwise we're more likely to
Neku,How do we restore power? (Somebody around here must know...)
Neku,We won't get anywhere without light.
Shiki,Let's do some recon. I bet somebody around here can point us
777,"Tsk, the hell is he? We gotta rehearse."
Neku,(What's that guy grumbling about?)
777,"Hey, perfect! You two."
Neku,! Huh?
Shiki,Can we help you?
Neku,H-h-hey! Wait a sec--
777,Think you could do a guy a favor?
Shiki,"Sure, if we can be of any help."
Neku,Shh! What're you--
Shiki,Let's hear him out. Sometimes all people need is a good listener. We
Neku,(You sap... Look at the bigger picture!)
777,"My band's supposed to play here in a few hours, but the tech's been gone"
Shiki,So this tech's part of the concert crew?
777,That's right. He's in a black tee. Got a lanyard 'round his 
Shiki,Why can't you go find him?
777,'Cause I got a concert. I can't go wondering off. The name's 777
Shiki,777...
